"base.name","sample.names","jax.id","CL.S","file.names","Abiotrophia","Acidovorax","Acinetobacter","Actinomyces","Aggregatibacter","Anaerococcus","Anaeroglobus","Atopobium","Bacteroides","Brachybacterium","Brachymonas","Brevibacterium","Burkholderia","Butyrivibrio","Campylobacter","Capnocytophaga","Cardiobacterium","Catonella","Clostridium.XI","Corynebacterium","Cryptobacterium","Dermacoccus","Desulfobulbus","Dialister","Dolosigranulum","Eikenella","Enterococcus","Erysipelotrichaceae_incertae_sedis","Escherichia.Shigella","Eubacterium","Filifactor","Finegoldia","Friedmanniella","Fusobacterium","Gemella","Gordonia","Gp7","Granulicatella","Haemophilus","Hallella","Janibacter","Janthinobacterium","Jeotgalicoccus","Kingella","Kocuria","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Massilia","Megasphaera","Methylobacterium","Microbacterium","Micrococcus","Microlunatus","Micromonospora","Mobiluncus","Mogibacterium","Moraxella","Moryella","Mycoplasma","Neisseria","Olsenella","Oribacterium","Ornithobacterium","Paenibacillus","Parvimonas","Patulibacter","Pelomonas","Peptococcus","Peptoniphilus","Peptostreptococcaceae_incertae_sedis","Peptostreptococcus","Petrobacter","Phocaeicola","Phyllobacterium","Polaromonas","Porphyromonas","Prevotella","Propionibacterium","Pseudomonas","Pseudoramibacter","Pseudoxanthomonas","Ralstonia","Roseomonas","Rothia","Saccharopolyspora","Scardovia","Schwartzia","Selenomonas","Shuttleworthia","Simplicispira","Sneathia","Solobacterium","Sphingomonas","SR1_genera_incertae_sedis","Staphylococcus","Stenotrophomonas","Streptococcus","Streptomyces","Streptophyta","Suttonella","Tannerella","Tessaracoccus","TM7_genera_incertae_sedis","Treponema","Tropheryma","unclassified_Acetobacteraceae","unclassified_Actinobacteria","unclassified_Actinomycetales","unclassified_Alphaproteobacteria","unclassified_Anaerolineaceae","unclassified_Bacilli","unclassified_Bacteria","unclassified_Bacteroidales","unclassified_Bacteroidetes","unclassified_Burkholderiales","unclassified_Clostridia","unclassified_Clostridiales","unclassified_Comamonadaceae","unclassified_Coriobacteriaceae","unclassified_Enterobacteriaceae","unclassified_Erysipelotrichaceae","unclassified_Firmicutes","unclassified_Flavobacteriaceae","unclassified_Fusobacteriaceae","unclassified_Fusobacteriales","unclassified_Gammaproteobacteria","unclassified_Lachnospiraceae","unclassified_Lactobacillales","unclassified_Leptotrichiaceae","unclassified_Micromonosporaceae","unclassified_Moraxellaceae","unclassified_Neisseriaceae","unclassified_Pasteurellaceae","unclassified_Peptococcaceae.1","unclassified_Phyllobacteriaceae","unclassified_Porphyromonadaceae","unclassified_Prevotellaceae","unclassified_Propionibacteriaceae","unclassified_Proteobacteria","unclassified_Pseudomonadaceae","unclassified_Pseudomonadales","unclassified_Rhizobiales","unclassified_Root","unclassified_Ruminococcaceae","unclassified_Spirochaetales","unclassified_Streptococcaceae","unclassified_Veillonellaceae","Veillonella","Weissella","Williamsia"
"000-311","000-311-CL","J39472","CL","CHAS_J39472_000_311_CL__AM",0,0,0,0.65359477,0,0,0,6.20915033,0,0,0,0,0,0,1.2345679,0,0,0.39941903,0,0,0,0,0,0.1815541,0,0,0,0,0,1.19825708,0,0,0.32679739,0.98039216,2.43282498,0,0.39941903,1.63398693,0.21786492,0,0,0,0,1.19825708,0,0,0,2.75962237,0,0,0.39941903,0,0,0,0,0,0,1.74291939,0,0.10893246,0,0.50835149,0,0.21786492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39941903,19.35366739,0.98039216,0.29048656,0,0,0,0,0.58097313,0,0,0,0,0,0,0,16.0130719,0,0,0,0,17.90123457,0,0,0,0,0,0.98039216,0,2.57806826,0,0,0,0,0,0,0.50835149,0.07262164,0,0,1.70660857,1.12563544,0,0,0,0,1.48874365,0,0,0.07262164,0,0.25417574,0,0.32679739,0,0,0,0,0,0,0,1.52505447,0,0,0,0,0,0,0,0,0,0,11.03848947,0,0
"000-314","000-314-CL","J39473","CL","CHAS_J39473_000_314_CL_AM",0.093475416,0,0,0.906711535,0.009347542,0,0,0.560852496,0,0,0,0,0,0,1.532996822,0.570200037,0,0.046737708,0,0.074780333,0,0,0,0.074780333,0,0.093475416,0,0,0,0.018695083,0,0,0,2.084501776,0.990839409,0,0,0.70106562,54.701813423,0,0,0,0,1.504954197,0,0.037390166,0,1.448868947,0,0,0.289773789,0,0,0,0,0,0,0.17760329,0,0.373901664,0.149560666,0.009347542,0.009347542,0.336511497,0,0,0.280426248,0,0,0,0,0,0,0,0.018695083,0,0,1.205832866,14.731725556,0,0.121518041,0,0,0,0,0.691718078,0,0,0.009347542,0.355206581,0.018695083,0,1.046924659,0.009347542,0,0,0,0,6.103944663,0,0,0,0.168255749,0.009347542,2.121891942,0.23368854,0,0,0,0.009347542,0,0,0,0.065432791,0.224340998,0.018695083,0,0,0.23368854,0,0,0,0,0,0.009347542,0,0.084127874,0,0,0.009347542,0.140213124,0,0,0,0.028042625,0.009347542,0,0.186950832,0.87866891,0.009347542,0,0,0,0.009347542,0.093475416,0,0,0,0,4.066180595,0,0
"000-485","000-485-CL","J39474","CL","CHAS_J39474_000_485_CL__AM",0,0,0.09927201,0.19854401,0,0,0,1.02581072,0,0,0,0,0,0,8.7028458,0.09927201,0,0.16545334,0,0.03309067,0,0,0,0,0,0,0,0,0,0.09927201,0,0,0,0.39708802,0.89344805,0,0,0.6287227,0.26472535,0,0,0,0,0,0,0,0,0.69490404,0,0,2.64725347,0,0,0.13236267,0,0.26472535,0,0.39708802,0,0.16545334,0,0.13236267,0,0.16545334,0,0,0,0,0,0,0,0,0,0.03309067,0,0,0,1.22435473,26.24090007,1.19126406,0.23163468,0,0,0,0,0.06618134,0,0,0,0.23163468,0,0,0,0.69490404,0,0,0.49636003,0,4.59960291,0,0,0,0,0,3.73924553,0.23163468,3.73924553,0,0,0,0,0,0,0.06618134,0.46326936,0,0,1.7868961,0.23163468,0,0,0,0,1.62144275,0,0,0,0,0.09927201,0,0,0.03309067,0,0,0,0,0,0,1.05890139,0,0,0,0,0,0.03309067,0,0,0,0.16545334,34.51356717,0,0
"000-603","000-603-CL","J39475","CL","CHAS_J39475_000_603_CL_AM",0,0,0,0.1669449,0,0,0,0,0,0,0,0,0,0,0.3338898,0,0,0,0,11.5191987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4056761,0.1669449,0,0,0,0,0,0,0,0,0,0,0,0.1669449,0,0,0,40.9015025,0,0.3338898,0,0,0,0,0,0.1669449,0,0,0,0,2.5041736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1669449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1669449,0,0
"000-698","000-698-CL","J39476","CL","CHAS_J39476_000_698_CL__AM",0.033113953,0,0,1.556355809,0.020696221,0.020696221,0.004139244,0.153152034,0,0,0.012417733,0,0,0.128316569,3.257585165,0.206962209,0,2.276584296,0,0.128316569,0.012417733,0,0.004139244,0.103481104,0.004139244,0.037253198,0,0.053810174,0,0.740924707,0.169709011,0.012417733,0,5.708017716,0.538101743,0,0,0.513266278,0.091063372,0.103481104,0,0,0,0.136595058,0,0,0.053810174,2.235191854,0.008278488,0,1.225216276,0,0,0.008278488,0,0,0,0.480152324,0,0.422202906,0.364253487,0.579494184,0,1.461153193,0,0,0.322861046,0,0.004139244,0,0.004139244,0.004139244,0.033113953,0,0,0,0,14.541164783,25.83302289,0.041392442,0.173848255,0.016556977,0,0,0,0.103481104,0,0,0.016556977,0.27732936,0.008278488,0,0,0.144873546,0,0.016556977,0.095202616,0.04967093,8.303323813,0,0.028974709,0,0.264911627,0.004139244,1.763318018,0.745063951,0,0,0,0.004139244,0,0.008278488,0,0.298025581,0.053810174,0.070367151,0.091063372,0.012417733,0.488430813,0.004139244,0,0,0.016556977,0.182126744,0.045531686,0,0.355974999,0,0.008278488,0,1.250051741,0,0,0.016556977,0,0.004139244,0,0.057949418,0.819570346,0,0,0.004139244,0,0,0,0,0.008278488,0,0.074506395,19.84353657,0.620886626,0
"000-723","000-723-CL","J39477","CL","CHAS_J39477_000_723_CL__AM",0,0,0,0,0,0.2234637,0,0,0,0,0,0,0,0,1.452514,0.1117318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7821229,0,0,0,0.7821229,0.1117318,0,0,0,0,0,0,0,0,1.0055866,0,0,0.4469274,0,0,0,0,0,0,0.4469274,58.4357542,0.1117318,0,0.2234637,0,0.4469274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1117318,11.6201117,0.1117318,0,0,0,0,0,0.3351955,0,0,0,0.2234637,0,0,0,0.2234637,0,0,0,0,6.0335196,0,0,0,0,0,1.5642458,0,0,0,0,0,0,0,0,0.1117318,0,0,0,0,0.3351955,0,0,0,0,1.5642458,0,0,0.4469274,0,0.1117318,0,0,0,0,0,0.1117318,0,0,0,0.6703911,0,0,0,0,0,0.2234637,0,0,0,0,11.6201117,0,0
"000-728","000-728-CL","J39478","CL","CHAS_J39478_000_728_CL__AM",0.097571175,0,0,0.310136948,0.017423424,0.013938739,0.020908109,0.285744154,0,0,0,0,0,0,1.257971217,0.505279297,0.003484685,0.108025229,0,0.00696937,0,0,0,0.055754957,0,0.045300903,0,0,0,0,0,0,0,0.735268495,0.63769732,0,0,0.766630658,0.407708123,0,0,0.003484685,0.010454054,0.149841447,0,0,0,6.843920967,0,0,2.630937032,0,0,0,0,0,0,0.059239642,12.123218455,0.324075687,0,3.899362303,0.00696937,0.958288323,0,0,0.017423424,0,0,0,0,0,0,0,0,0,0,0.519218037,35.34515803,0.024392794,0,0,0,0,0,0.125448653,0,0,0,0.017423424,0,0,0.013938739,0.069693696,0,0,0.048785587,0,6.941492142,0,0,0,0.076663066,0,0.501794613,0.059239642,0,0,0,0,0,0,0,0.46346308,0.017423424,0,0.142872077,0.017423424,0.226504513,0.013938739,0,0,0,0.052270272,0.285744154,0,0.027877478,0,0.00696937,0,0.118479284,0,0,0.449524341,0.240443252,0,0,0.041816218,1.3764505,0,0,0,0.003484685,0,0.00696937,0,0,0,0.069693696,20.39237551,0,0
"000-745","000-745-CL","J39479","CL","CHAS_J39479_000_745_CL__AM",0,0,0,0.095556617,0,0,0,0.023889154,0,0,0,0,0,0,1.114827202,0.039815257,0,0.007963051,0,0,0,0,0,0,0.007963051,0,0,0,0,0.573339704,0,0,0,1.290014333,0.215002389,0,0,0.031852206,0,0,0,0.023889154,0,0.05574136,0,0,0,0.907787864,0,0.015926103,0.254817646,0,0,0,0,0,0,0.127408823,0.007963051,0,0,0.382226469,0,0.374263418,0,0.007963051,0,0,0,0,0,0,0.007963051,0,0,0,0,0.039815257,8.265647396,0.11148272,0,0,0,0,0,0.135371875,0,0,0,0.031852206,0,0,0,0.199076286,0,0,0,0,78.547539417,0,0,0,0.007963051,0,0.342411212,0,0,0,0,0,0,0,0,0.254817646,0,0,0,0,0.11148272,0,0,0.645007167,0,0,0,0,0.039815257,0,0,0.031852206,0.151297977,0,0,0.063704412,0,0,0,0.015926103,0.613154961,0,0,0,0,0,0.095556617,0,0,0,0,4.730052556,0,0
"000-765","000-765-CL","J39480","CL","CHAS_J39480_000_765_CL__AM",0.01751109,0.00583703,0,0.19262199,0,0.00583703,0.06420733,0.18678496,0.01751109,0,0,0,0,0,1.40672426,0.14008872,0,0.14592575,0,0.09339248,0,0,0,0.22180714,0,0.00583703,0,0,0,0.02918515,0,0,0,3.78823255,1.86201261,0,0,0.85804343,1.02148027,0.10506654,0,0,0,1.17324305,0,0.00583703,0,2.77842634,0,0,0.20429605,0,0,0,0,0,0.00583703,0.03502218,0.00583703,0.72962876,0.02334812,3.01774457,0,1.00980621,0,0,0.1751109,0,0,0,0,0,0,0,0,0,0,1.90870885,32.40719122,0.03502218,0,0,0,0,0,0.29185151,0,0,0,0.04085921,0,0,0,0.04085921,0,0,0,0,28.86411394,0,0,0,0.5428438,0,1.98459024,0.09339248,0,0,0,0,0,0.00583703,0,0.02918515,0.41442914,0.03502218,0.22764417,0,0.18678496,0.00583703,0,0,0.01167406,0.00583703,0.26850339,0,0,0,0,0,0.00583703,0,0,0.00583703,0.35605884,0,0,0.02334812,3.09362596,0,0,0,0,0,0.03502218,0,0,0,0.01167406,9.73616624,0,0
